,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
89,omloop-het-nieuwsblad/2022,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2022,26-Feb-22,11:15,42.137 km/h,ME - Men Elite,204.2 km,1.WT.B,UCI.WR.C3,,49,1666,Ghent,Ninove,23,749,13 km solo,
90,strade-bianche/2022,https://www.procyclingstats.com/race/strade-bianche/2022,05-Mar-22,11:45,38.358 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,,167,3107,Siena,Siena,27,662,49.2 km solo,
93,milano-sanremo/2022,https://www.procyclingstats.com/race/milano-sanremo/2022,19-Mar-22,10:10,45.331 km/h,ME - Men Elite,293 km,1.WT.A,UCI.WR.C1,,63,2096,Milano,Sanremo,13,936,4.3 km solo,
95,oxyclean-classic-brugge-de-panne/2022,https://www.procyclingstats.com/race/oxyclean-classic-brugge-de-panne/2022,23-Mar-22,12:15,43.664 km/h,ME - Men Elite,207.9 km,1.WT.B,UCI.WR.C3,,0,246,Brugge,De Panne,39,459,Sprint of large group,
96,e3-harelbeke/2022,https://www.procyclingstats.com/race/e3-harelbeke/2022,25-Mar-22,12:22,43.997 km/h,ME - Men Elite,203.9 km,1.WT.B,UCI.WR.C2,,59,2010,Harelbeke,Harelbeke,29,636,Other,16 °C
97,gent-wevelgem/2022,https://www.procyclingstats.com/race/gent-wevelgem/2022,27-Mar-22,11:10,44.172 km/h,ME - Men Elite,248.8 km,1.WT.B,UCI.WR.C1,,35,1377,Ypres,Wevelgem,16,838,Sprint of small group,13 °C
98,dwars-door-vlaanderen/2022,https://www.procyclingstats.com/race/dwars-door-vlaanderen/2022,30-Mar-22,12:55,44.869 km/h,ME - Men Elite,183.7 km,1.WT.B,UCI.WR.C3,,50,1649,Roeselare,Waregem,27,647,Sprint a deux,28 °C
99,ronde-van-vlaanderen/2022,https://www.procyclingstats.com/race/ronde-van-vlaanderen/2022,03-Apr-22,10:18,43.197 km/h,ME - Men Elite,272.5 km,1.WT.A,UCI.WR.C1,,79,2289,Antwerp,Oudenaarde,18,759,Sprint of small group,28 °C
101,amstel-gold-race/2022,https://www.procyclingstats.com/race/amstel-gold-race/2022,10-Apr-22,10:26,42.196 km/h,ME - Men Elite,254.1 km,1.WT.B,UCI.WR.C1,,112,3460,Maastricht,Valkenburg,22,702,Sprint a deux,10 °C
102,paris-roubaix/2022,https://www.procyclingstats.com/race/paris-roubaix/2022,17-Apr-22,11:15,45.792 km/h,ME - Men Elite,257.2 km,1.WT.A,UCI.WR.C1,,5,1362,Compiègne,Roubaix,16,752,19.5 km solo,17 °C
103,la-fleche-wallone/2022,https://www.procyclingstats.com/race/la-fleche-wallone/2022,20-Apr-22,11:30,42.97 km/h,ME - Men Elite,202.1 km,1.WT.B,UCI.WR.C2,,173,3160,Blegny,Mur de Huy,9,974,Sprint a deux,14 °C
104,liege-bastogne-liege/2022,https://www.procyclingstats.com/race/liege-bastogne-liege/2022,24-Apr-22,10:20,41.413 km/h,ME - Men Elite,257.2 km,1.WT.A,UCI.WR.C1,,182,4342,Liège,Liège,5,1101,14.4 km solo,14 °C
106,eschborn-frankfurt/2022,https://www.procyclingstats.com/race/eschborn-frankfurt/2022,01-May-22,12:21,41.439 km/h,ME - Men Elite,185 km,1.WT.B,UCI.WR.C3,,89,2654,Eschborn,Frankfurt-am-Main,64,309,Sprint of large group,15 °C
111,san-sebastian/2022,https://www.procyclingstats.com/race/san-sebastian/2022,30-Jul-22,11:52,40.659 km/h,ME - Men Elite,224.8 km,1.WT.B,UCI.WR.C2,,231,4147,San Sebastián,San Sebastián,20,724,44.5 km solo,23 °C
114,cyclassics-hamburg/2022,https://www.procyclingstats.com/race/cyclassics-hamburg/2022,21-Aug-22,11:25,44.278 km/h,ME - Men Elite,204.7 km,1.WT.B,UCI.WR.C2,,30,892,Hamburg,Hamburg,27,651,Sprint of small group,24 °C
115,bretagne-classic/2022,https://www.procyclingstats.com/race/bretagne-classic/2022,28-Aug-22,10:50,41.958 km/h,ME - Men Elite,254.8 km,1.WT.B,UCI.WR.C2,,95,3116,Plouay,Plouay,12,812,Sprint of small group,25 °C
116,gp-quebec/2022,https://www.procyclingstats.com/race/gp-quebec/2022,09-Sep-22,11:00  (17:00 CET),42.156 km/h,ME - Men Elite,201.6 km,1.WT.B,UCI.WR.C1,,60,2508,Québec,Québec,10,866,2.1 km solo,18 °C
117,gp-montreal/2022,https://www.procyclingstats.com/race/gp-montreal/2022,11-Sep-22,10:15  (16:15 CET),36.938 km/h,ME - Men Elite,221.4 km,1.WT.B,UCI.WR.C1,,182,4124,Montréal,Montréal,11,864,Sprint of small group,22 °C
118,il-lombardia/2022,https://www.procyclingstats.com/race/il-lombardia/2022,08-Oct-22,10:10,39.804 km/h,ME - Men Elite,253 km,1.WT.A,UCI.WR.C1,,278,4852,Bergamo,Como,6,1019,Sprint a deux,20 °C
134,world-championships-itt-u23/2022,https://www.procyclingstats.com/race/world-championships-itt-u23/2022,19-Sep-22,13:23  (05:23 CET),50.502 km/h,MU - Men U23,28.8 km,UCI.WO.u23.TT,UCI.WR.WO.U23.TT,,18,306,Wollongong,Wollongong,242,19,Time Trial,
135,world-championship-itt/2022,https://www.procyclingstats.com/race/world-championship-itt/2022,18-Sep-22,13:42  (05:42 CET),51.257 km/h,ME - Men Elite,34.2 km,Worlds.TT,UCI.WR.WO.TT - TM2022,,17,324,Wollongong,Wollongong,66,324,Time Trial,
136,world-championships-u23/2022,https://www.procyclingstats.com/race/world-championships-u23/2022,23-Sep-22,13:00  (05:00 CET),42.963 km/h,MU - Men U23,169.8 km,Nationals.C1,UCI.WR.WO.U23,,116,2486,Wollongong,Wollongong,161,90,Sprint a deux,
137,world-championship/2022,https://www.procyclingstats.com/race/world-championship/2022,25-Sep-22,10:15  (02:15 CET),42.575 km/h,ME - Men Elite,266.9 km,Worlds.RR,UCI.WR.WO - TM2022,,160,4167,Helensburgh,Wollongong,6,1053,25.8 km solo,
191,trofeo-calvia/2022,https://www.procyclingstats.com/race/trofeo-calvia/2022,26-Jan-22,12:00,39.063 km/h,ME - Men Elite,154.7 km,1.1,UCI.WR.1,,154,3211,Peguera,Palmanova,62,305,60 km solo,
192,trofeo-alcudia/2022,https://www.procyclingstats.com/race/trofeo-alcudia/2022,27-Jan-22,12:00,45.026 km/h,ME - Men Elite,173.2 km,1.1,UCI.WR.1,,62,1653,Port d'Alcudia,Port d'Alcudia,74,272,Sprint of large group,
193,deia-trophy/2022,https://www.procyclingstats.com/race/deia-trophy/2022,28-Jan-22,12:00,37.753 km/h,ME - Men Elite,158.9 km,1.1,UCI.WR.1,,170,3217,Lloseta,Lloseta,58,352,Sprint of small group,
194,trofeo-andratx-mirador-d-es-colomer/2022,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2022,29-Jan-22,12:00,40.05 km/h,ME - Men Elite,170.1 km,1.1,UCI.WR.1,,207,3429,Pollença,Andratx,55,366,Sprint a deux,
195,gp-d-ouverture/2022,https://www.procyclingstats.com/race/gp-d-ouverture/2022,30-Jan-22,12:30,38.564 km/h,ME - Men Elite,174.3 km,1.1,UCI.WR.1,,120,2921,Château-Gombert,Marseille,63,325,Sprint of large group,
196,trofeo-palma/2022,https://www.procyclingstats.com/race/trofeo-palma/2022,30-Jan-22,10:00,43.288 km/h,ME - Men Elite,169.1 km,1.1,UCI.WR.1,,35,1552,S'Arenal,Palma,67,303,Sprint of large group,
197,vuelta-ciclista-a-la-region-de-murcia/2022,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/2022,12-Feb-22,13:25,39.995 km/h,ME - Men Elite,183.2 km,1.1,UCI.WR.1,,94,2331,Fortuna,Puerto de Cartagena,101,197,5 km solo,
198,clasica-jaen-paraiso-interior/2022,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022,14-Feb-22,12:42,38.963 km/h,ME - Men Elite,187.8 km,1.1,UCI.WR.1,,185,3094,Baeza,Úbeda,115,166,25.1 km solo,
199,gp-samyn/2022,https://www.procyclingstats.com/race/gp-samyn/2022,01-Mar-22,12:25,43.319 km/h,ME - Men Elite,209 km,1.1,UCI.WR.1,,10,1541,Quaregnon,Dour,71,298,Sprint of small group,
200,grote-prijs-jean-pierre-monsere/2022,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2022,06-Mar-22,10:20,42.771 km/h,ME - Men Elite,203.2 km,1.1,UCI.WR.1,,1,650,Hooglede,Roeselare,147,112,Sprint of large group,
201,ronde-van-drenthe/2022,https://www.procyclingstats.com/race/ronde-van-drenthe/2022,13-Mar-22,10:30,38.493 km/h,ME - Men Elite,198.1 km,1.1,UCI.WR.1,,9,421,Assen,Hoogeveen,156,87,3.3 km solo,
202,classic-loire-atlantique/2022,https://www.procyclingstats.com/race/classic-loire-atlantique/2022,19-Mar-22,12:30,42.802 km/h,ME - Men Elite,182.8 km,1.1,UCI.WR.1,,83,2452,La Haye-Fouassière,La Haye-Fouassière,153,98,Sprint of small group,
203,cholet-pays-de-loire/2022,https://www.procyclingstats.com/race/cholet-pays-de-loire/2022,20-Mar-22,12:00,42.576 km/h,ME - Men Elite,202 km,1.1,UCI.WR.1,,41,1714,Cholet,Cholet,157,83,Sprint of large group,
204,per-sempre-alfredo/2022,https://www.procyclingstats.com/race/per-sempre-alfredo/2022,20-Mar-22,13:00,39.305 km/h,ME - Men Elite,172.7 km,1.1,UCI.WR.1,,136,2976,Firenze,Sesto Fiorentino,158,82,8.5 km solo,
205,la-roue-tourangelle/2022,https://www.procyclingstats.com/race/la-roue-tourangelle/2022,27-Mar-22,13:30,43.433 km/h,ME - Men Elite,202 km,1.1,UCI.WR.1,,30,1525,Château-Renault,Tours,141,122,Sprint of large group,28 °C
206,route-adelie-de-vitre/2022,https://www.procyclingstats.com/race/route-adelie-de-vitre/2022,01-Apr-22,12:00,39.76 km/h,ME - Men Elite,176.7 km,1.1,UCI.WR.1,,68,2578,Vitré,Vitré,134,130,Sprint of small group,28 °C
207,volta-limburg-classic/2022,https://www.procyclingstats.com/race/volta-limburg-classic/2022,02-Apr-22,12:03,38.436 km/h,ME - Men Elite,195 km,1.1,UCI.WR.1,,90,2878,Eijsden,Eijsden,153,94,Sprint of small group,28 °C
208,paris-camembert/2022,https://www.procyclingstats.com/race/paris-camembert/2022,12-Apr-22,11:05,41.113 km/h,ME - Men Elite,213.8 km,1.1,UCI.WR.1,,105,2779,Pont-Audemer,Livarot,147,108,2 km solo,17 °C
209,classic-grand-besancon-doubs/2022,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2022,15-Apr-22,12:15,40.05 km/h,ME - Men Elite,177.5 km,1.1,UCI.WR.1,,187,2786,Besançon,Montfaucon,126,145,0.4 km solo,21 °C
210,tour-du-jura-cycliste/2022,https://www.procyclingstats.com/race/tour-du-jura-cycliste/2022,16-Apr-22,10:15,41.666 km/h,ME - Men Elite,169.8 km,1.1,UCI.WR.1,,129,2617,Champagnole,Nozeroy,127,142,Sprint a deux,16 °C
211,tour-du-finistere/2022,https://www.procyclingstats.com/race/tour-du-finistere/2022,21-May-22,12:00,41.466 km/h,ME - Men Elite,193.3 km,1.1,UCI.WR.1,,115,2860,Saint-Evarzec,Quimper,134,137,Sprint a deux,21 °C
212,veenendaal-veenendaal/2022,https://www.procyclingstats.com/race/veenendaal-veenendaal/2022,21-May-22,12:21,43.548 km/h,ME - Men Elite,197.9 km,1.1,UCI.WR.1,,18,1020,Veenendaal,Veenendaal,143,117,Sprint of large group,18 °C
213,antwerp-port-epic/2022,https://www.procyclingstats.com/race/antwerp-port-epic/2022,22-May-22,12:44,42.29 km/h,ME - Men Elite,181.4 km,1.1,UCI.WR.1,,0,186,Antwerpen,Antwerpen,175,61,2.5 km solo,22 °C
214,boucles-de-l-aulne/2022,https://www.procyclingstats.com/race/boucles-de-l-aulne/2022,22-May-22,13:00,43.438 km/h,ME - Men Elite,175.2 km,1.1,UCI.WR.1,,86,2848,Châteaulin,Châteaulin,137,133,19.7 km solo,20 °C
215,rund-um-koln/2022,https://www.procyclingstats.com/race/rund-um-koln/2022,22-May-22,10:58,44.561 km/h,ME - Men Elite,199.3 km,1.1,UCI.WR.1,,88,2875,Köln,Köln,104,199,5 km solo,20 °C
216,circuit-de-wallonie/2022,https://www.procyclingstats.com/race/circuit-de-wallonie/2022,26-May-22,13:25,43.906 km/h,ME - Men Elite,192.2 km,1.1,UCI.WR.1,,58,2030,Charleroi,Mont-sur-Marchienne,139,130,Sprint a deux,18 °C
217,grote-prijs-marcel-kint/2022,https://www.procyclingstats.com/race/grote-prijs-marcel-kint/2022,29-May-22,12:30,42.824 km/h,ME - Men Elite,199 km,1.1,UCI.WR.1,,40,1599,Kortrijk,Zwevegem,129,143,Sprint of large group,14 °C
218,mercan-tour-classic-alpes-maritimes/2022,https://www.procyclingstats.com/race/mercan-tour-classic-alpes-maritimes/2022,31-May-22,11:02,34.67 km/h,ME - Men Elite,167.9 km,1.1,UCI.WR.1,,350,4739,Puget-Théniers,Col de Valberg,87,247,6.6 km solo,19 °C
219,giro-del-appennino/2022,https://www.procyclingstats.com/race/giro-del-appennino/2022,02-Jun-22,11:00,38.793 km/h,ME - Men Elite,191.7 km,1.1,UCI.WR.1,,180,3054,Pasturana,Genoa,157,92,7.1 km solo,25 °C
220,heist-op-den-berg/2022,https://www.procyclingstats.com/race/heist-op-den-berg/2022,04-Jun-22,13:00,46.476 km/h,ME - Men Elite,192.8 km,1.1,UCI.WR.1,,5,572,Vosselaar,Heist-op-den-Berg,102,210,Sprint of small group,23 °C
221,ronde-van-limburg/2022,https://www.procyclingstats.com/race/ronde-van-limburg/2022,06-Jun-22,13:44,43.265 km/h,ME - Men Elite,202.6 km,1.1,UCI.WR.1,,32,1651,Hasselt,Tongeren,65,312,Sprint of small group,20 °C
