,rider_code,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
746,sasha-weemaes,10,0,0,0,5.0,94.0,0.0,0.0,0.0,0.5
747,soren-waerenskjold,7,0,1,2,68.0,22.0,0.0,0.14285714285714285,0.2857142857142857,9.714285714285714
748,matthew-bostock,2,0,0,1,14.0,52.5,0.0,0.0,0.5,7.0
749,ben-turner,25,1,2,4,252.0,66.16666666666667,0.04,0.08,0.16,10.08
750,james-fouche,8,0,0,0,26.0,28.0,0.0,0.0,0.0,3.25
751,lennert-teugels,17,0,0,2,76.0,29.941176470588236,0.0,0.0,0.11764705882352941,4.470588235294118
752,casper-van-uden,7,0,0,0,11.0,29.857142857142858,0.0,0.0,0.0,1.5714285714285714
753,dries-de-pooter,5,0,0,0,0.0,41.0,0.0,0.0,0.0,0.0
754,wessel-krul,2,0,0,0,0.0,65.5,0.0,0.0,0.0,0.0
755,daan-hoole,27,0,0,1,50.0,66.92307692307692,0.0,0.0,0.037037037037037035,1.8518518518518519
756,jacob-scott,3,0,0,0,0.0,64.0,0.0,0.0,0.0,0.0
757,pavel-bittner,9,0,0,2,55.0,41.75,0.0,0.0,0.2222222222222222,6.111111111111111
758,luke-mudgway,5,0,0,0,5.0,57.6,0.0,0.0,0.0,1.0
759,lewis-askey,25,0,1,1,105.0,60.88,0.0,0.04,0.04,4.2
760,ethan-batt,1,0,0,0,0.0,102.0,0.0,0.0,0.0,0.0
761,antoine-raugel,30,0,0,0,11.0,85.96153846153847,0.0,0.0,0.0,0.36666666666666664
762,josh-kench,6,0,0,0,0.0,42.5,0.0,0.0,0.0,0.0
763,logan-currie,5,0,0,0,5.0,48.75,0.0,0.0,0.0,1.0
764,fabio-christen,10,0,0,0,0.0,61.875,0.0,0.0,0.0,0.0
765,mason-hollyman,11,0,0,0,3.0,41.6,0.0,0.0,0.0,0.2727272727272727
766,iker-ballarin-manso,17,0,0,0,0.0,100.55555555555556,0.0,0.0,0.0,0.0
767,oscar-pelegri,22,0,0,0,5.0,73.57142857142857,0.0,0.0,0.0,0.22727272727272727
768,samuel-watson,6,0,0,0,12.0,57.2,0.0,0.0,0.0,2.0
769,johan-meens,31,0,0,0,10.0,67.92857142857143,0.0,0.0,0.0,0.3225806451612903
770,louis-blouwe,16,0,0,0,15.0,57.4,0.0,0.0,0.0,0.9375
771,jason-tesson,14,0,2,4,160.0,5.8,0.0,0.14285714285714285,0.2857142857142857,11.428571428571429
772,gleb-brussenskiy,6,0,0,0,0.0,41.666666666666664,0.0,0.0,0.0,0.0
773,bailey-o-donnell,4,0,0,0,0.0,97.5,0.0,0.0,0.0,0.0
774,sindre-kulset,4,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0
775,felipe-orts,11,0,0,0,5.0,85.0,0.0,0.0,0.0,0.45454545454545453
776,enzo-paleni,5,0,0,1,16.0,44.333333333333336,0.0,0.0,0.2,3.2
777,paul-wright,14,0,0,0,0.0,60.666666666666664,0.0,0.0,0.0,0.0
778,ollie-jones,4,0,0,0,0.0,35.0,0.0,0.0,0.0,0.0
779,nathan-vandepitte,2,0,0,0,0.0,118.0,0.0,0.0,0.0,0.0
780,lorenzo-quartucci2,4,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
781,omar-el-gouzi,18,0,0,0,14.0,59.5,0.0,0.0,0.0,0.7777777777777778
782,jesus-david-pena-jimenez,8,0,0,0,5.0,96.75,0.0,0.0,0.0,0.625
783,alessandro-santaromita,7,0,0,0,0.0,74.66666666666667,0.0,0.0,0.0,0.0
784,andrea-pietrobon,6,0,0,0,0.0,97.0,0.0,0.0,0.0,0.0
785,negasi-abreha,6,0,0,0,5.0,81.5,0.0,0.0,0.0,0.8333333333333334
786,alois-charrin,8,0,0,0,0.0,64.25,0.0,0.0,0.0,0.0
787,alex-jaime-fernandez,14,0,0,1,27.0,51.9,0.0,0.0,0.07142857142857142,1.9285714285714286
788,axel-zingle,34,2,5,14,534.0,30.433333333333334,0.058823529411764705,0.14705882352941177,0.4117647058823529,15.705882352941176
789,declan-irvine,7,0,0,0,0.0,95.66666666666667,0.0,0.0,0.0,0.0
790,valentin-retailleau,14,0,0,0,4.0,74.875,0.0,0.0,0.0,0.2857142857142857
791,tom-sexton,6,0,0,0,5.0,56.75,0.0,0.0,0.0,0.8333333333333334
792,james-oram,5,0,0,0,6.0,48.333333333333336,0.0,0.0,0.0,1.2
793,emilien-jeanniere,3,0,0,0,0.0,94.0,0.0,0.0,0.0,0.0
794,thomas-bonnet,6,0,0,0,0.0,80.75,0.0,0.0,0.0,0.0
795,robbe-ceurens,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
796,logan-phippen,3,0,0,0,0.0,,0.0,0.0,0.0,0.0
797,sean-flynn,8,0,0,0,10.0,51.142857142857146,0.0,0.0,0.0,1.25
798,jules-hesters,4,0,0,0,0.0,,0.0,0.0,0.0,0.0
799,cyrus-monk,11,0,0,0,0.0,66.77777777777777,0.0,0.0,0.0,0.0
800,lucas-dauge,4,0,0,0,0.0,114.0,0.0,0.0,0.0,0.0
801,robin-froidevaux,13,0,0,0,0.0,89.9,0.0,0.0,0.0,0.0
802,alessio-nieri,8,0,0,0,0.0,39.0,0.0,0.0,0.0,0.0
803,felix-engelhardt,6,0,0,1,31.0,49.5,0.0,0.0,0.16666666666666666,5.166666666666667
804,walter-calzoni,6,0,0,0,17.0,36.4,0.0,0.0,0.0,2.8333333333333335
805,stefano-gandin,6,0,0,0,0.0,29.5,0.0,0.0,0.0,0.0
806,lorenzo-milesi,11,0,0,0,0.0,59.0,0.0,0.0,0.0,0.0
807,kevin-vauquelin,10,0,0,1,51.0,34.4,0.0,0.0,0.1,5.1
808,tobias-lund-andresen,6,0,0,0,4.0,32.25,0.0,0.0,0.0,0.6666666666666666
809,dorian-de-maeght,7,0,0,0,0.0,73.66666666666667,0.0,0.0,0.0,0.0
810,ceriel-desal,10,0,0,0,8.0,67.33333333333333,0.0,0.0,0.0,0.8
811,erlend-blikra,6,0,0,0,0.0,100.66666666666667,0.0,0.0,0.0,0.0
812,aaron-gate,5,0,0,1,63.0,12.75,0.0,0.0,0.2,12.6
813,alexandre-balmer,16,0,0,1,47.0,57.916666666666664,0.0,0.0,0.0625,2.9375
814,dusan-rajovic,3,0,0,0,5.0,88.0,0.0,0.0,0.0,1.6666666666666667
815,pau-miquel-delgado,23,0,0,0,18.0,56.1,0.0,0.0,0.0,0.782608695652174
816,alex-tolio,11,0,0,0,6.0,49.166666666666664,0.0,0.0,0.0,0.5454545454545454
817,antonio-puppio,13,0,0,1,40.0,60.142857142857146,0.0,0.0,0.07692307692307693,3.076923076923077
818,rainer-kepplinger,5,0,0,0,5.0,57.0,0.0,0.0,0.0,1.0
819,mattia-petrucci,2,0,0,0,0.0,61.0,0.0,0.0,0.0,0.0
820,alessandro-fancellu,14,0,0,0,5.0,62.75,0.0,0.0,0.0,0.35714285714285715
821,unai-iribar-jauregi,17,0,0,0,11.0,51.0,0.0,0.0,0.0,0.6470588235294118
822,felix-gros,8,0,0,0,0.0,,0.0,0.0,0.0,0.0
823,niklas-larsen,8,0,0,0,5.0,49.166666666666664,0.0,0.0,0.0,0.625
824,jenno-berckmoes,15,0,0,2,84.0,45.333333333333336,0.0,0.0,0.13333333333333333,5.6
825,sandy-dujardin,26,0,1,4,154.0,43.5,0.0,0.038461538461538464,0.15384615384615385,5.923076923076923
826,william-blume-levy,7,0,0,0,5.0,90.25,0.0,0.0,0.0,0.7142857142857143
827,vito-braet,15,0,0,0,23.0,60.07692307692308,0.0,0.0,0.0,1.5333333333333334
828,cian-uijtdebroeks,11,0,0,1,41.0,34.44444444444444,0.0,0.0,0.09090909090909091,3.727272727272727
829,vinicius-rangel-costa,9,0,0,0,10.0,98.2,0.0,0.0,0.0,1.1111111111111112
830,kamiel-bonneu,16,0,0,2,50.0,55.69230769230769,0.0,0.0,0.125,3.125
831,fredrik-dversnes,13,0,0,0,33.0,54.36363636363637,0.0,0.0,0.0,2.5384615384615383
832,eugenio-sanchez,11,0,0,0,5.0,76.75,0.0,0.0,0.0,0.45454545454545453
833,anders-halland-johannessen,6,0,0,0,10.0,87.0,0.0,0.0,0.0,1.6666666666666667
834,arnaud-de-lie,16,2,3,9,590.0,19.733333333333334,0.125,0.1875,0.5625,36.875
835,frederik-rodenberg,2,0,0,0,0.0,126.0,0.0,0.0,0.0,0.0
836,louis-barre,24,0,0,2,58.0,56.333333333333336,0.0,0.0,0.08333333333333333,2.4166666666666665
837,madis-mihkels,4,0,0,2,50.0,12.0,0.0,0.0,0.5,12.5
838,lennert-van-eetvelt,9,0,2,2,99.0,21.285714285714285,0.0,0.2222222222222222,0.2222222222222222,11.0
839,bastien-tronchon,2,0,0,0,3.0,18.0,0.0,0.0,0.0,1.5
840,alec-segaert,2,0,0,0,4.0,19.0,0.0,0.0,0.0,2.0
841,romain-gregoire1,12,0,0,3,136.0,36.72727272727273,0.0,0.0,0.25,11.333333333333334
842,nils-brun,15,0,0,0,5.0,73.71428571428571,0.0,0.0,0.0,0.3333333333333333
843,embret-svestad-bardseng,2,0,0,0,0.0,39.0,0.0,0.0,0.0,0.0
844,petr-kelemeh,4,0,0,1,14.0,33.75,0.0,0.0,0.25,3.5
845,enekoitz-azparren-irurzun,4,0,0,0,0.0,54.0,0.0,0.0,0.0,0.0
846,tord-gudmestad,7,0,0,0,0.0,47.2,0.0,0.0,0.0,0.0
847,nurbergen-nurlykhassym,9,0,0,0,0.0,88.0,0.0,0.0,0.0,0.0
848,scott-mcgill,1,0,0,0,15.0,86.0,0.0,0.0,0.0,15.0
849,asier-etxeberria,10,0,0,0,0.0,70.88888888888889,0.0,0.0,0.0,0.0
850,milan-fretin,15,0,0,0,0.0,67.0,0.0,0.0,0.0,0.0
851,tuur-dens,7,0,0,0,0.0,101.25,0.0,0.0,0.0,0.0
852,xabier-isasa-larranaga,12,0,0,0,0.0,80.75,0.0,0.0,0.0,0.0
853,iuri-leitao,4,0,0,0,0.0,118.33333333333333,0.0,0.0,0.0,0.0
854,calum-johnston,8,0,0,0,0.0,67.0,0.0,0.0,0.0,0.0
855,matheo-vercher,5,0,1,1,41.0,11.5,0.0,0.2,0.2,8.2
856,axel-mariault,19,0,0,0,24.0,53.69230769230769,0.0,0.0,0.0,1.263157894736842
857,gianmarco-garofoli,4,0,0,0,1.0,50.333333333333336,0.0,0.0,0.0,0.25
858,simone-olivero,3,0,0,0,0.0,,0.0,0.0,0.0,0.0
859,jan-stockli,10,0,0,0,0.0,57.666666666666664,0.0,0.0,0.0,0.0
860,gage-hecht,9,0,0,0,0.0,111.0,0.0,0.0,0.0,0.0
861,jacob-eriksson,5,0,0,1,32.0,46.6,0.0,0.0,0.2,6.4
862,bart-lemmen,2,0,0,1,14.0,10.0,0.0,0.0,0.5,7.0
863,toon-clynhens,8,0,0,0,0.0,47.166666666666664,0.0,0.0,0.0,0.0
864,oscar-onley,4,0,0,0,5.0,45.75,0.0,0.0,0.0,1.25
865,johannes-adamietz,8,0,0,0,0.0,52.0,0.0,0.0,0.0,0.0
866,marcus-sander-hansen,3,0,0,0,0.0,69.0,0.0,0.0,0.0,0.0
867,ivan-cobo-cayon,8,0,0,0,10.0,30.0,0.0,0.0,0.0,1.25
868,adne-holter,7,0,0,0,0.0,43.75,0.0,0.0,0.0,0.0
869,elias-maris,6,0,0,0,0.0,56.166666666666664,0.0,0.0,0.0,0.0
870,max-poole,2,0,0,0,0.0,81.0,0.0,0.0,0.0,0.0
871,arno-claeys,1,0,0,0,0.0,43.0,0.0,0.0,0.0,0.0
872,mitchel-fitzsimons,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
873,lenny-martinez,7,0,0,2,52.0,19.833333333333332,0.0,0.0,0.2857142857142857,7.428571428571429
874,alex-martin-gutierrez,8,0,0,0,4.0,45.333333333333336,0.0,0.0,0.0,0.5
875,chih-hao-tu,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
876,welay-hagos-berhe,2,0,0,0,0.0,58.5,0.0,0.0,0.0,0.0
877,pierre-gautherat,5,0,0,1,25.0,46.75,0.0,0.0,0.2,5.0
878,mark-stewart,2,0,0,0,0.0,94.0,0.0,0.0,0.0,0.0
879,matthew-gibson,6,0,0,0,0.0,95.0,0.0,0.0,0.0,0.0
880,matyas-kopecky,5,0,0,0,0.0,96.33333333333333,0.0,0.0,0.0,0.0
881,alexander-salby,1,0,0,0,0.0,109.0,0.0,0.0,0.0,0.0
882,hamish-beadle,3,0,0,0,0.0,,0.0,0.0,0.0,0.0
883,andoni-lopez-de-abetxuko-jimenez,4,0,0,0,0.0,94.0,0.0,0.0,0.0,0.0
884,filippo-ridolfo,2,0,0,0,0.0,,0.0,0.0,0.0,0.0
885,manuele-tarozzi,1,0,0,0,0.0,44.0,0.0,0.0,0.0,0.0
886,florian-lipowitz,1,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
887,gleb-syritsa,2,0,0,0,0.0,,0.0,0.0,0.0,0.0
888,giulio-pellizzari,2,0,0,0,0.0,54.5,0.0,0.0,0.0,0.0
889,alessandro-pinarello,2,0,0,0,0.0,59.5,0.0,0.0,0.0,0.0
890,george-jackson,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
891,luca-van-boven,3,0,0,0,5.0,84.0,0.0,0.0,0.0,1.6666666666666667
892,vincent-van-hemelen,8,0,0,0,0.0,44.0,0.0,0.0,0.0,0.0
893,filippo-colombo1,5,0,0,0,5.0,65.4,0.0,0.0,0.0,1.0
894,marcel-camprubi,3,0,0,0,0.0,80.0,0.0,0.0,0.0,0.0
895,davide-piganzoli,3,0,0,0,0.0,49.0,0.0,0.0,0.0,0.0
896,javier-serrano,4,0,0,0,0.0,72.0,0.0,0.0,0.0,0.0
897,alejandro-franco-gonzalez,5,0,0,0,0.0,79.0,0.0,0.0,0.0,0.0
898,mikel-retegi,5,0,0,0,0.0,82.75,0.0,0.0,0.0,0.0
899,jared-scott,1,0,0,0,0.0,79.0,0.0,0.0,0.0,0.0
900,jarne-van-de-paar,1,0,0,0,0.0,92.0,0.0,0.0,0.0,0.0
901,vince-gerits,2,0,0,0,0.0,116.0,0.0,0.0,0.0,0.0
902,alan-banaszek,5,0,0,0,0.0,129.5,0.0,0.0,0.0,0.0
903,daniel-babor,2,0,0,0,0.0,,0.0,0.0,0.0,0.0
904,xabier-berasategi-garmendia,3,0,0,0,0.0,54.0,0.0,0.0,0.0,0.0
905,liam-slock,2,0,0,0,0.0,48.5,0.0,0.0,0.0,0.0
906,joseba-lopez-cuesta,3,0,0,0,0.0,106.0,0.0,0.0,0.0,0.0
907,tomas-barta,2,0,0,0,0.0,,0.0,0.0,0.0,0.0
908,fernando-tercero-lopez,1,0,0,0,0.0,45.0,0.0,0.0,0.0,0.0
909,michael-leonard1,2,0,0,0,0.0,106.0,0.0,0.0,0.0,0.0
910,clement-alleno,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
911,stian-fredheim,1,0,0,0,0.0,30.0,0.0,0.0,0.0,0.0
912,noah-vandenbranden,1,0,0,0,0.0,117.0,0.0,0.0,0.0,0.0
913,josh-burnett,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
914,aaron-van-der-beken,3,0,0,0,0.0,69.0,0.0,0.0,0.0,0.0
915,german-nicolas-tivani-perez,1,0,0,0,0.0,33.0,0.0,0.0,0.0,0.0
916,gerd-de-keijzer,2,0,0,0,0.0,146.0,0.0,0.0,0.0,0.0
