,team_name,circuit,country,team_code,bike,groupset,wheels,saddle,tyres,pedals,powermeter,sunglasses,helmets,shoes,bartape,kit,sports_nutrition,cycling_computer,hometrainer,team_code_2023_x,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,team_code_2023_y,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,team_code_2023_x,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,team_code_2023_y,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,avg_rnk_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,team_code_2023_x,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,team_code_2023_y,nb_dnf_otl,pct_dnf_otl
16,astana qazaqstan team,worldteams,kazakhstan,astana-qazaqstan-team-2023,wilier triestina,shimano,corima,prologo,vittoria,look,shimano,scicon,limar,,prologo,giordana,namedsport,garmin,tacx,astana-qazaqstan-team-2023,1066.0,0.0,3.0,23.0,943.0,76.66115702479338,0.0,0.0028142589118198,0.0215759849906191,0.8846153846153846,astana-qazaqstan-team-2023,2880.0,23.0,62.0,205.0,8355.0,60.70800933125972,0.0079861111111111,0.0215277777777777,0.0711805555555555,2.9010416666666665,astana-qazaqstan-team-2023,320.0,1.0,3.0,20.0,286.0,58.92356687898089,0.003125,0.009375,0.0625,0.89375,astana-qazaqstan-team-2023,290.0,3.0,9.0,28.0,8370.0,31.58490566037736,0.0103448275862068,0.0310344827586206,0.096551724137931,28.86206896551724,astana-qazaqstan-team-2023,889.0,8.0,17.0,49.0,5625.0,55.34704830053667,0.0089988751406074,0.0191226096737907,0.0551181102362204,6.327334083239595,astana-qazaqstan-team-2023,365.0,0.0855602437880918
17,bahrain - victorious,worldteams,bahrain,bahrain-victorious-2023,merida,shimano,vision,prologo,continental,fsa,,rudy project,rudy project,,,alé,neversecond,garmin,elite,bahrain-victorious-2023,974.0,6.0,18.0,75.0,2994.0,73.42400881057269,0.0061601642710472,0.0184804928131416,0.0770020533880903,3.0739219712525667,bahrain-victorious-2023,2615.0,27.0,81.0,266.0,10429.0,65.48223986627664,0.0103250478011472,0.0309751434034416,0.1017208413001912,3.988145315487572,bahrain-victorious-2023,311.0,1.0,5.0,23.0,358.0,67.01290322580645,0.0032154340836012,0.0160771704180064,0.0739549839228295,1.1511254019292605,bahrain-victorious-2023,275.0,1.0,14.0,41.0,10508.0,40.57142857142857,0.0036363636363636,0.0509090909090909,0.149090909090909,38.21090909090909,bahrain-victorious-2023,661.0,5.0,14.0,66.0,7334.0,49.84409799554566,0.0075642965204236,0.021180030257186,0.0998487140695915,11.095310136157336,bahrain-victorious-2023,247.0,0.0633333333333333
18,bingoal wb,proteams,belgium,bingoal-wb-2023,de rosa,rotor,ursus,repente,hutchinson,look,rotor,,spiuk,,,vermarc,supq,bryton,elite,bingoal-wb-2023,691.0,1.0,2.0,38.0,2147.0,62.56983240223464,0.0014471780028943,0.0028943560057887,0.0549927641099855,3.1070911722141825,bingoal-wb-2023,573.0,0.0,3.0,17.0,1232.0,59.25067385444744,0.0,0.0052356020942408,0.0296684118673647,2.150087260034904,bingoal-wb-2023,12.0,0.0,0.0,0.0,2.0,116.91666666666669,0.0,0.0,0.0,0.1666666666666666,bingoal-wb-2023,10.0,0.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,4.5,bingoal-wb-2023,1189.0,1.0,5.0,54.0,3376.0,59.41408114558472,0.0008410428931875,0.0042052144659377,0.0454163162321278,2.8393608074011776,bingoal-wb-2023,349.0,0.2720187061574435
19,bolton equities black spoke,proteams,australia,bolton-equities-black-spoke-2023,pinarello,shimano,,pro,vittoria,shimano,,100%,lazer,,pro,doltcini,,wahoo,wahoo,bolton-equities-black-spoke-2023,96.0,0.0,0.0,1.0,49.0,61.19672131147541,0.0,0.0,0.0104166666666666,0.5104166666666666,bolton-equities-black-spoke-2023,60.0,0.0,0.0,1.0,110.0,52.4054054054054,0.0,0.0,0.0166666666666666,1.8333333333333333,bolton-equities-black-spoke-2023,1.0,0.0,0.0,1.0,32.0,4.0,0.0,0.0,1.0,32.0,,,,,,,,,,,,bolton-equities-black-spoke-2023,156.0,0.0,0.0,2.0,159.0,57.87755102040816,0.0,0.0,0.0128205128205128,1.0192307692307692,bolton-equities-black-spoke-2023,59.0,0.3597560975609756
20,burgos-bh,proteams,spain,burgos-bh-2023,bh,fsa,vision,prologo,veloflex,xpedo,,ekoï,ekoï,,prologo,finisseur,victory endurance,hammerhead,,burgos-bh-2023,306.0,0.0,0.0,3.0,100.0,81.70786516853933,0.0,0.0,0.0098039215686274,0.326797385620915,burgos-bh-2023,940.0,1.0,4.0,19.0,684.0,81.15306122448979,0.001063829787234,0.0042553191489361,0.0202127659574468,0.7276595744680852,burgos-bh-2023,58.0,0.0,0.0,0.0,0.0,126.55172413793105,0.0,0.0,0.0,0.0,burgos-bh-2023,57.0,0.0,0.0,0.0,826.0,17.956521739130434,0.0,0.0,0.0,14.491228070175438,burgos-bh-2023,471.0,0.0,2.0,14.0,588.0,59.34113712374582,0.0,0.0042462845010615,0.0297239915074309,1.248407643312102,burgos-bh-2023,188.0,0.1441717791411043
21,caja rural - seguros rga,proteams,spain,caja-rural-seguros-rga-2023,mmr,shimano,vision,selle italia,vittoria,,,spiuk,spiuk,,,gsport,,,,caja-rural-seguros-rga-2023,262.0,0.0,1.0,16.0,309.0,76.0379746835443,0.0,0.0038167938931297,0.0610687022900763,1.1793893129770991,caja-rural-seguros-rga-2023,895.0,0.0,5.0,24.0,835.0,77.53083109919571,0.0,0.0055865921787709,0.0268156424581005,0.9329608938547486,caja-rural-seguros-rga-2023,55.0,0.0,0.0,0.0,0.0,120.50909090909092,0.0,0.0,0.0,0.0,caja-rural-seguros-rga-2023,57.0,0.0,0.0,1.0,636.0,13.53191489361702,0.0,0.0,0.0175438596491228,11.157894736842104,caja-rural-seguros-rga-2023,485.0,0.0,2.0,13.0,726.0,57.78698224852071,0.0,0.0041237113402061,0.0268041237113402,1.4969072164948454,caja-rural-seguros-rga-2023,167.0,0.1377887788778878
22,eolo-kometa,proteams,italy,eolo-kometa-2023,aurum,sram,enve,prologo,vittoria,look,,,,sidi,,gobik,,,,eolo-kometa-2023,153.0,0.0,0.0,3.0,72.0,91.18791946308724,0.0,0.0,0.0196078431372549,0.4705882352941176,eolo-kometa-2023,650.0,1.0,5.0,17.0,910.0,73.00391389432485,0.0015384615384615,0.0076923076923076,0.0261538461538461,1.4,eolo-kometa-2023,44.0,0.0,0.0,0.0,0.0,112.20454545454544,0.0,0.0,0.0,0.0,eolo-kometa-2023,28.0,0.0,0.0,0.0,543.0,19.392857142857142,0.0,0.0,0.0,19.392857142857142,eolo-kometa-2023,431.0,0.0,2.0,11.0,716.0,60.17586206896552,0.0,0.0046403712296983,0.025522041763341,1.6612529002320189,eolo-kometa-2023,140.0,0.1652892561983471
23,equipo kern pharma,proteams,spain,equipo-kern-pharma-2023,giant,shimano,cadex,,,,,bollé,giant,,,etxeondo,finisher,,zycle,equipo-kern-pharma-2023,119.0,0.0,0.0,0.0,45.0,77.91397849462365,0.0,0.0,0.0,0.3781512605042016,equipo-kern-pharma-2023,584.0,0.0,2.0,11.0,500.0,66.96581196581197,0.0,0.0034246575342465,0.0188356164383561,0.8561643835616438,equipo-kern-pharma-2023,35.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,equipo-kern-pharma-2023,25.0,0.0,0.0,0.0,195.0,9.75,0.0,0.0,0.0,7.8,equipo-kern-pharma-2023,412.0,0.0,2.0,8.0,518.0,56.13666666666666,0.0,0.0048543689320388,0.0194174757281553,1.2572815533980584,equipo-kern-pharma-2023,121.0,0.1639566395663956
24,euskaltel - euskadi,proteams,spain,euskaltel-euskadi-2023,orbea,shimano,vision,,,,,,,,,etxeondo,,,,euskaltel-euskadi-2023,185.0,0.0,1.0,2.0,173.0,80.85798816568047,0.0,0.0054054054054054,0.0108108108108108,0.9351351351351352,euskaltel-euskadi-2023,677.0,1.0,3.0,19.0,630.0,73.4676007005254,0.001477104874446,0.0044313146233382,0.0280649926144756,0.930576070901034,euskaltel-euskadi-2023,45.0,0.0,0.0,0.0,0.0,106.64444444444445,0.0,0.0,0.0,0.0,euskaltel-euskadi-2023,39.0,0.0,0.0,0.0,465.0,13.285714285714286,0.0,0.0,0.0,11.923076923076923,euskaltel-euskadi-2023,404.0,1.0,3.0,15.0,706.0,56.66319444444444,0.0024752475247524,0.0074257425742574,0.0371287128712871,1.7475247524752475,euskaltel-euskadi-2023,120.0,0.1323042998897464
25,green project bardiani csf-faizane,proteams,italy,green-project-bardiani-csf-faizane-2023,de rosa,campagnolo,campagnolo,selle smp,vittoria,favero,favero,briko,briko,gaerne,de rosa,alé,sis,bryton,elite,green-project-bardiani-csf-faizane-2023,294.0,0.0,0.0,12.0,304.0,75.53875968992249,0.0,0.0,0.0408163265306122,1.034013605442177,green-project-bardiani-csf-faizane-2023,962.0,0.0,4.0,24.0,1156.0,78.2671052631579,0.0,0.0041580041580041,0.0249480249480249,1.2016632016632016,green-project-bardiani-csf-faizane-2023,85.0,0.0,0.0,0.0,0.0,131.41666666666666,0.0,0.0,0.0,0.0,green-project-bardiani-csf-faizane-2023,45.0,0.0,0.0,0.0,555.0,12.333333333333334,0.0,0.0,0.0,12.333333333333334,green-project-bardiani-csf-faizane-2023,593.0,0.0,1.0,14.0,1058.0,58.325,0.0,0.0016863406408094,0.0236087689713322,1.7841483979763912,green-project-bardiani-csf-faizane-2023,232.0,0.1730052199850857
26,human powered health,proteams,usa,human-powered-health-2023,felt,sram,vision,selle italia,goodyear,,,rudy project,lem,northwave,,pactimo,,wahoo,wahoo,human-powered-health-2023,295.0,0.0,1.0,7.0,360.0,71.38862559241706,0.0,0.0033898305084745,0.023728813559322,1.2203389830508475,human-powered-health-2023,458.0,1.0,2.0,10.0,327.0,77.63142857142857,0.0021834061135371,0.0043668122270742,0.0218340611353711,0.7139737991266376,human-powered-health-2023,39.0,0.0,0.0,0.0,0.0,95.71794871794872,0.0,0.0,0.0,0.0,human-powered-health-2023,36.0,0.0,0.0,1.0,370.0,10.882352941176473,0.0,0.0,0.0277777777777777,10.27777777777778,human-powered-health-2023,502.0,1.0,2.0,12.0,658.0,65.95283018867924,0.0019920318725099,0.0039840637450199,0.0239043824701195,1.3107569721115535,human-powered-health-2023,184.0,0.2323232323232323
27,israel - premier tech,proteams,israel,israel-premier-tech-2023,factor,,black inc,selle italia,maxxis,,,ekoï,ekoï,,,ekoï,santa madre,hammerhead,powerwatts,israel-premier-tech-2023,1097.0,3.0,13.0,92.0,3640.0,71.68262226847034,0.0027347310847766,0.0118505013673655,0.0838650865998176,3.318140382862352,israel-premier-tech-2023,2409.0,11.0,40.0,126.0,6142.0,81.43298479087453,0.0045662100456621,0.016604400166044,0.0523038605230386,2.5496056454960563,israel-premier-tech-2023,256.0,0.0,1.0,9.0,78.0,90.14624505928852,0.0,0.00390625,0.03515625,0.3046875,israel-premier-tech-2023,191.0,0.0,1.0,5.0,3035.0,16.955307262569832,0.0,0.0052356020942408,0.0261780104712041,15.890052356020943,israel-premier-tech-2023,1241.0,5.0,19.0,93.0,7121.0,53.15232558139535,0.0040290088638195,0.0153102336825141,0.0749395648670427,5.738114423851733,israel-premier-tech-2023,398.0,0.1057947900053163
28,lotto dstny,proteams,belgium,lotto-dstny-2023,ridley,shimano,dt swiss,selle italia,vittoria,shimano,shimano,ekoï,ekoï,,lizard skins,vermarc,precision fuel & hydratation,garmin,garmin,lotto-dstny-2023,1314.0,25.0,55.0,121.0,6550.0,72.53496208930076,0.0190258751902587,0.0418569254185692,0.0920852359208523,4.984779299847793,lotto-dstny-2023,2794.0,17.0,52.0,171.0,8071.0,79.31777597402598,0.0060844667143879,0.0186113099498926,0.0612025769506084,2.888690050107373,lotto-dstny-2023,312.0,1.0,6.0,10.0,306.0,86.0,0.0032051282051282,0.0192307692307692,0.032051282051282,0.9807692307692308,lotto-dstny-2023,254.0,0.0,1.0,7.0,3665.0,16.735159817351597,0.0,0.0039370078740157,0.0275590551181102,14.429133858267717,lotto-dstny-2023,1325.0,17.0,50.0,141.0,10642.0,50.86938775510204,0.0128301886792452,0.0377358490566037,0.1064150943396226,8.031698113207547,lotto-dstny-2023,413.0,0.0933122458201536
29,team corratec,proteams,italy,team-corratec-2023,corratec,,,,,,,,,,,,,,,team-corratec-2023,14.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,team-corratec-2023,75.0,0.0,0.0,0.0,0.0,45.92307692307692,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,team-corratec-2023,89.0,0.0,0.0,0.0,0.0,57.63157894736842,0.0,0.0,0.0,0.0,team-corratec-2023,70.0,0.7865168539325843
30,team flanders - baloise,proteams,belgium,team-flanders--baloise-2023,eddy merckx,shimano,fast forward wheels,selle italia,vittoria,look,,rudy project,rudy project,,,vermarc,etixx,garmin,tacx,team-flanders--baloise-2023,754.0,2.0,5.0,58.0,2593.0,55.99161073825504,0.0026525198938992,0.006631299734748,0.0769230769230769,3.438992042440318,team-flanders--baloise-2023,556.0,1.0,2.0,10.0,1184.0,61.71875,0.0017985611510791,0.0035971223021582,0.0179856115107913,2.129496402877698,team-flanders--baloise-2023,15.0,0.0,0.0,1.0,24.0,93.42857142857144,0.0,0.0,0.0666666666666666,1.6,team-flanders--baloise-2023,18.0,0.0,0.0,0.0,90.0,5.294117647058823,0.0,0.0,0.0,5.0,team-flanders--baloise-2023,1192.0,3.0,7.0,60.0,3739.0,57.257803468208095,0.0025167785234899,0.0058724832214765,0.0503355704697986,3.136744966442953,team-flanders--baloise-2023,321.0,0.240990990990991
31,team novo nordisk,proteams,usa,team-novo-nordisk-2023,argon 18,,,,vittoria,,,,catlike,,,santic,,,,team-novo-nordisk-2023,137.0,0.0,0.0,1.0,30.0,80.61,0.0,0.0,0.0072992700729927,0.218978102189781,team-novo-nordisk-2023,209.0,0.0,0.0,1.0,68.0,90.97619047619048,0.0,0.0,0.0047846889952153,0.3253588516746411,team-novo-nordisk-2023,5.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,team-novo-nordisk-2023,22.0,0.0,0.0,0.0,105.0,5.0,0.0,0.0,0.0,4.7727272727272725,team-novo-nordisk-2023,181.0,0.0,0.0,0.0,92.0,90.11940298507464,0.0,0.0,0.0,0.5082872928176796,team-novo-nordisk-2023,119.0,0.339031339031339
32,team totalenergies,proteams,france,team-totalenergies-2023,specialized,shimano,,specialized,,,,100%,specialized,specialized,,sportful,sportful ergy,garmin,,team-totalenergies-2023,901.0,3.0,16.0,65.0,3557.0,71.36425648021829,0.0033296337402885,0.0177580466148723,0.0721420643729189,3.947835738068812,team-totalenergies-2023,1646.0,6.0,24.0,98.0,4559.0,72.98146828225232,0.0036452004860267,0.0145808019441069,0.0595382746051032,2.769744835965978,team-totalenergies-2023,147.0,0.0,0.0,2.0,23.0,84.76388888888889,0.0,0.0,0.0136054421768707,0.1564625850340136,team-totalenergies-2023,109.0,0.0,0.0,0.0,1488.0,15.030303030303031,0.0,0.0,0.0,13.65137614678899,team-totalenergies-2023,1317.0,5.0,32.0,114.0,7212.0,52.46595744680851,0.0037965072133637,0.0242976461655277,0.0865603644646924,5.476082004555809,team-totalenergies-2023,395.0,0.1466221232368225
33,tudor pro cycling team,proteams,switzerland,tudor-pro-cycling-team-2023,bmc,sramsram,dt swiss,selle italia,schwalbe,speedplay,,,abusabus,suplest,,assos,,wahoo,wahoo,tudor-pro-cycling-team-2023,75.0,0.0,0.0,4.0,79.0,73.6086956521739,0.0,0.0,0.0533333333333333,1.0533333333333332,tudor-pro-cycling-team-2023,149.0,0.0,0.0,2.0,128.0,66.50925925925925,0.0,0.0,0.0134228187919463,0.8590604026845637,,,,,,,,,,,,tudor-pro-cycling-team-2023,7.0,0.0,0.0,0.0,48.0,6.857142857142857,0.0,0.0,0.0,6.857142857142857,tudor-pro-cycling-team-2023,182.0,0.0,0.0,4.0,184.0,64.57037037037037,0.0,0.0,0.0219780219780219,1.010989010989011,tudor-pro-cycling-team-2023,45.0,0.2008928571428571
34,uno-x pro cycling team,proteams,norway,uno-x-pro-cycling-team-2023,dare,,dt swiss,,,,,sweet protection,sweet protection,,,bioracer,,,,uno-x-pro-cycling-team-2023,407.0,1.0,4.0,17.0,1068.0,67.15894039735099,0.0024570024570024,0.0098280098280098,0.0417690417690417,2.624078624078624,uno-x-pro-cycling-team-2023,392.0,1.0,5.0,18.0,994.0,65.6078431372549,0.0025510204081632,0.0127551020408163,0.0459183673469387,2.5357142857142856,uno-x-pro-cycling-team-2023,10.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0,0.0,uno-x-pro-cycling-team-2023,15.0,0.0,0.0,3.0,319.0,22.785714285714285,0.0,0.0,0.2,21.266666666666666,uno-x-pro-cycling-team-2023,677.0,2.0,8.0,30.0,2008.0,63.505070993914806,0.0029542097488921,0.0118168389955686,0.0443131462333825,2.96602658788774,uno-x-pro-cycling-team-2023,180.0,0.2205882352941176
35,q36.5 pro cycing team,proteams,switzerland,q365-pro-cycing-team,scott,sram,zipp,syncros,pirelli,,garmin,scott,scott,q36.5,,q36.5,amacx,garmin,,q365-pro-cycing-team,861.0,3.0,11.0,60.0,2392.0,74.64803049555273,0.0034843205574912,0.0127758420441347,0.0696864111498257,2.778164924506388,q365-pro-cycing-team,1956.0,5.0,12.0,62.0,3330.0,82.38059701492537,0.0025562372188139,0.0061349693251533,0.0316973415132924,1.7024539877300613,q365-pro-cycing-team,222.0,0.0,0.0,8.0,74.0,79.84545454545454,0.0,0.0,0.036036036036036,0.3333333333333333,q365-pro-cycing-team,180.0,0.0,1.0,3.0,2407.0,14.950310559006212,0.0,0.0055555555555555,0.0166666666666666,13.372222222222222,q365-pro-cycing-team,701.0,3.0,9.0,42.0,4165.0,56.59297520661157,0.0042796005706134,0.0128388017118402,0.0599144079885877,5.94151212553495,q365-pro-cycing-team,255.0,0.083743842364532
